name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
Nouman Sarwar,QAT,2019-2019,14,9,6,172,47*,57.33,128,134.37,0,0,1,16,6
IK Pathan,IND,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
GD Elliott,NZ/World,2009-2017,17,15,4,171,27,15.54,157,108.91,0,0,0,12,2
YSD Seneveratne,Caym,2019-2023,10,10,0,171,74,17.10,188,90.95,0,1,1,17,7
MNR Cooray,MDV,2019-2020,7,6,1,170,56*,34.00,148,114.86,0,1,0,21,3
T Marumani,ZIM,2021-2023,16,16,0,170,35,10.62,185,91.89,0,0,1,14,4
Mohamed Azzam,MDV,2019-2022,20,18,3,170,17*,11.33,211,80.56,0,0,1,13,0
A Natubhai Ahir,PNM,2019-2023,12,12,0,170,51,14.16,164,103.65,0,1,2,16,8
TS Fray,BMUDA,2019-2023,16,15,3,169,62*,14.08,187,90.37,0,1,3,18,2
M Vijay,IND,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
C Brennan,JER,2021-2023,12,11,2,168,67*,18.66,149,112.75,0,1,1,11,9
SM Sharif,SCOT,2012-2023,63,26,14,168,26,14.00,138,121.73,0,0,3,10,5
M van Lingen,NAM,2021-2022,13,10,0,168,51,16.80,162,103.70,0,1,0,18,3
M Yunusu Issa,TAN,2022-2023,31,20,7,168,33*,12.92,130,129.23,0,0,1,11,9
Ahmed Hassan,SUI,2023-2023,7,6,3,167,58*,55.66,112,149.10,0,1,0,12,12
I Kaia,ZIM,2021-2023,10,10,0,167,54,16.70,176,94.88,0,1,0,14,3
GA Priandana,INA,2022-2023,9,9,1,167,45*,20.87,184,90.76,0,0,0,14,4
Ali Raza,Belg,2021-2023,10,8,1,167,50,23.85,107,156.07,0,1,1,11,12
O Bascome,BMUDA,2019-2021,17,15,1,166,37,11.85,166,100.00,0,0,2,12,9
HJ Jordaan,THAI,2019-2020,8,8,1,166,37*,23.71,210,79.04,0,0,0,10,4
A Pusthay,Fin,2019-2022,12,12,0,166,56,13.83,176,94.31,0,1,1,13,1
NK Tiwari,CYP,2021-2022,11,10,1,166,46,18.44,184,90.21,0,0,2,14,3
ME Trescothick,ENG,2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
Irfan Hafejee,PNM,2021-2023,10,10,1,165,41,18.33,240,68.75,0,0,1,16,1
JN Loftie-Eaton,NAM,2021-2022,22,17,2,165,28,11.00,167,98.80,0,0,2,14,3
PR Surve,INA,2022-2022,7,7,0,165,61,23.57,169,97.63,0,1,0,13,3
Umar Gul,PAK,2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10
MRJ Watt,SCOT,2015-2023,58,24,10,165,31*,11.78,135,122.22,0,0,4,17,2
Tarun Sharma,Mex,2019-2019,8,8,1,164,49*,23.42,160,102.50,0,0,1,12,6
Waqas Khan,HKG,2014-2020,16,14,4,164,60,16.40,189,86.77,0,1,1,6,5
TN de Grooth,NED,2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1
G Singh,USA,2021-2022,11,7,1,163,65,27.16,129,126.35,0,2,1,8,11
Zawar Farid,UAE,2019-2023,18,16,3,163,55,12.53,127,128.34,0,1,2,12,8
EF Beard,IOM,2021-2023,18,13,4,162,35,18.00,148,109.45,0,0,2,13,3
H Hiri,PNG,2016-2023,16,12,2,162,46,16.20,131,123.66,0,0,0,11,9
Akhil Anil,TAN,2022-2022,16,14,3,161,52*,14.63,124,129.83,0,1,1,14,8
H Davids,SA,2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4
Rafiullah,OMA,2022-2023,13,10,0,161,32,16.10,92,175.00,0,0,1,6,16
Waqas Ahmad,MLT,2023-2023,15,12,4,161,53*,20.12,100,161.00,0,1,3,10,12
Samir Patel,LES,2021-2022,13,12,2,160,35*,16.00,158,101.26,0,0,2,13,5
Saqlain Arshad,QAT,2019-2023,7,6,0,160,39,26.66,150,106.66,0,0,0,19,3
Walid Ghauri,NOR,2019-2022,7,7,1,160,44*,26.66,166,96.38,0,0,0,16,3
JP Faulkner,AUS,2012-2017,24,18,7,159,41*,14.45,138,115.21,0,0,0,7,5
Junaid Siddique,BAN,2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
RR Watson,SCOT,2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
Fitri Sham,MAL,2019-2023,41,21,7,158,40*,11.28,161,98.13,0,0,1,4,11
JL Ontong,SA,2008-2015,14,10,0,158,48,15.80,109,144.95,0,0,1,6,11
Rizwan Mahmood,DEN,2019-2023,13,11,2,158,45,17.55,131,120.61,0,0,1,10,6
Mudassar Bukhari,NED,2008-2016,38,26,8,157,28*,8.72,152,103.28,0,0,1,10,4
Muhammad Amin,SWA/SWZ,2021-2023,9,9,0,157,80,17.44,131,119.84,0,2,1,20,5
H Thaker,CAN,2019-2022,18,10,4,157,37,26.16,105,149.52,0,0,0,11,8
DT Tiripano,ZIM,2016-2022,23,16,4,157,28,13.08,158,99.36,0,0,3,9,6
Saad Khan,KSA,2022-2023,11,10,0,156,69,15.60,146,106.84,0,1,2,14,6
JOP Scamans,Fin,2019-2022,15,15,3,156,28,13.00,149,104.69,0,0,3,10,1
Towhid Hridoy,BAN,2023-2023,8,7,1,156,47*,26.00,115,135.65,0,0,0,12,7
KJ Young,Blz,2019-2021,9,9,2,156,44,22.28,151,103.31,0,0,1,15,4
AR McBrine,IRE,2014-2022,32,18,6,155,36,12.91,132,117.42,0,0,1,11,5
SP Narine,WI,2012-2019,51,23,8,155,30,10.33,138,112.31,0,0,2,13,5
IS Sodhi,NZ,2014-2023,102,28,11,155,19,9.11,137,113.13,0,0,4,9,9
S Vijay Unni,MAL,2022-2023,21,12,4,155,38,19.37,171,90.64,0,0,0,8,4
Ansar Iqbal,NOR,2019-2022,9,8,1,154,40,22.00,134,114.92,0,0,0,17,4
Gurdeep Singh,KENYA,2021-2021,10,9,0,154,44,17.11,159,96.85,0,0,1,19,2
Hadisullah Tarakhel,Belg,2021-2021,5,5,1,154,78,38.50,84,183.33,0,1,0,16,11
Khaibar Deldar,HUN,2021-2022,15,14,0,154,40,11.00,136,113.23,0,0,2,14,7
Shahbaz Badar,BHR,2019-2023,14,14,0,154,44,11.00,160,96.25,0,0,4,15,1
Wahab Riaz,PAK,2008-2020,36,18,6,154,30*,12.83,123,125.20,0,0,2,10,7
AJ Hosein,WI,2021-2023,39,17,10,153,44*,21.85,127,120.47,0,0,1,11,7
A Mutreja,SGP,2022-2022,6,6,0,153,77,25.50,120,127.50,0,1,1,8,8
Abrar Bilal,Aut,2019-2022,10,9,3,152,37,25.33,117,129.91,0,0,0,12,6
DK Anefie,Ghana,2019-2022,21,15,3,152,46,12.66,109,139.44,0,0,7,7,8
SJ Cotter,Samoa,2019-2022,10,10,0,152,45,15.20,149,102.01,0,0,1,15,4
Lucky Ali,DEN,2019-2023,21,15,3,152,26,12.66,192,79.16,0,0,0,10,0
Mahmud Jasat,PNM,2021-2023,10,10,1,152,35,16.88,197,77.15,0,0,0,10,2
P Suanchuai,THAI,2020-2023,16,14,2,152,37,12.66,217,70.04,0,0,1,6,4
GT Taylor,Bhm,2021-2023,15,15,0,152,32,10.13,223,68.16,0,0,2,9,7
HD Rutherford,NZ,2013-2019,8,7,0,151,62,21.57,105,143.80,0,1,1,12,9
NM Coulter-Nile,AUS,2013-2019,28,15,4,150,34,13.63,120,125.00,0,0,3,10,10
Delawar Khan,DEN,2019-2021,18,15,4,150,40*,13.63,123,121.95,0,0,2,7,11
LN Oluoch,KENYA,2013-2023,33,19,8,150,31*,13.63,115,130.43,0,0,2,14,7
HR Walsh,USA/WI,2019-2022,38,17,7,150,28,15.00,155,96.77,0,0,2,9,5
Ali Saleem,NOR,2022-2023,14,12,1,149,53*,13.54,152,98.02,0,1,0,5,7
Haroon Mughal,MLT,2019-2021,15,11,0,149,33,13.54,120,124.16,0,0,0,12,5
Imal Zuwak,SWE,2021-2023,12,12,2,149,47*,14.90,175,85.14,0,0,1,13,3
N Pathan,THAI,2019-2020,8,8,1,149,54*,21.28,128,116.40,0,1,1,10,7
AL Phehlukwayo,SA,2017-2022,38,21,6,149,27*,9.93,129,115.50,0,0,6,16,4
SM Tupou,Fiji,2022-2023,9,9,0,149,35,16.55,153,97.38,0,0,0,12,6
M Dixit,LUX,2019-2023,26,15,3,148,38,12.33,151,98.01,0,0,1,10,4
JSE Dunford,JER,2019-2022,31,17,9,148,45*,18.50,157,94.26,0,0,4,14,0
OD Hald,DEN,2019-2023,23,16,5,148,24,13.45,129,114.72,0,0,1,8,7
Abdul Rahman,SGP,2022-2023,10,9,2,147,67,21.00,141,104.25,0,1,1,10,2
K Rabada,SA,2014-2023,56,21,14,147,22,21.00,134,109.70,0,0,3,12,5
GR Russ,PHI,2019-2023,15,12,3,147,43*,16.33,191,76.96,0,0,3,13,1
Saad Bin Zafar,CAN,2019-2022,29,13,3,147,29*,14.70,121,121.48,0,0,0,14,6
Ali Farasat,HUN,2022-2023,14,13,1,146,23,12.16,125,116.80,0,0,0,10,8
TS Kamunhukamwe,ZIM,2020-2021,8,8,0,146,44,18.25,150,97.33,0,0,2,17,1
Shahid Afridi,GER,2023-2023,7,7,0,146,53,20.85,86,169.76,0,1,0,14,10
R Ravindra,NZ,2021-2023,18,16,5,145,26,13.18,123,117.88,0,0,2,12,4
P Sarraf,NEP,2019-2022,17,16,2,145,27*,10.35,158,91.77,0,0,4,18,5
F Nsubuga,UGA,2019-2023,50,19,4,144,31*,9.60,133,108.27,0,0,4,6,9
S Tosic,SRB,2021-2023,15,9,3,144,40,24.00,237,60.75,0,0,0,10,0
Wahidullah Usmani,Belg,2020-2021,7,7,0,144,72,20.57,149,96.64,0,1,0,14,2
GR Adair,IRE,2023-2023,7,7,0,143,65,20.42,104,137.50,0,1,0,12,7
RGA Amah,CAM,2021-2022,14,13,0,143,20,11.00,200,71.50,0,0,0,12,1
M Klinger,AUS,2017-2017,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2
Usman Arif,NOR,2021-2022,9,8,0,143,44,17.87,71,201.40,0,0,1,4,17
Amir Mangal,GER,2019-2020,10,10,3,142,40,20.28,91,156.04,0,0,0,11,8
Sandeep Goud,OMA,2019-2022,26,16,6,142,31*,14.20,142,100.00,0,0,0,5,6
Umar Amin,PAK,2013-2018,14,9,0,142,47,15.77,123,115.44,0,0,3,15,4
GK Berg,ITA,2021-2023,15,12,4,141,39*,17.62,116,121.55,0,0,2,10,6
Faran Afzal,ESP,2019-2019,9,8,1,141,59*,20.14,140,100.71,0,1,0,11,6
P Heron,Caym,2022-2023,7,7,1,141,59,23.50,122,115.57,0,2,1,9,4
Waheed Ahmed,UAE,2019-2020,15,13,6,141,45*,20.14,111,127.02,0,0,0,7,11
Zeeshan Ali,HKG,2022-2023,12,9,2,141,42,20.14,126,111.90,0,0,0,14,2
CR Woakes,ENG,2011-2023,29,14,7,140,37,20.00,100,140.00,0,0,2,9,7
J Alegra,PHI,2022-2023,11,10,1,139,33,15.44,188,73.93,0,0,1,7,2
C Green,AUS,2022-2022,8,8,0,139,61,17.37,80,173.75,0,2,0,17,8
Haseeb Ghafoor,KSA,2022-2023,9,8,4,139,36,34.75,134,103.73,0,0,0,7,7
D Myers,ZIM,2021-2021,8,8,0,139,35,17.37,116,119.82,0,0,0,12,2
AC Voges,AUS,2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2
JD Allan,VAN,2022-2023,11,10,0,138,36,13.80,148,93.24,0,0,0,12,1
Dipanjan Dey,SWE,2021-2021,6,6,2,138,75*,34.50,112,123.21,0,1,0,9,3
JR Philippe,AUS,2021-2021,10,10,0,138,45,13.80,126,109.52,0,0,1,8,5
IJL Trott,ENG,2007-2010,7,7,1,138,51,23.00,144,95.83,0,1,0,9,3
Anique Uddin,DEN,2019-2023,13,12,0,137,31,11.41,172,79.65,0,0,1,8,1
KD Mills,NZ,2005-2014,42,19,7,137,33*,11.41,123,111.38,0,0,4,11,5
HH Patel,MWI,2019-2019,7,6,1,137,44*,27.40,104,131.73,0,0,0,17,3
J Trembeath-Moro,ESP,2022-2022,8,7,2,137,39,27.40,152,90.13,0,0,0,10,4
DF Watts,SCOT,2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3
AR White,IRE,2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2
Zameer Khan,DEN,2019-2021,8,8,1,137,33,19.57,173,79.19,0,0,0,9,0
Khalid Zahid,SWE,2021-2023,16,12,2,136,47*,13.60,108,125.92,0,0,0,14,2
SL Malinga,SL,2006-2020,84,33,12,136,27,6.47,161,84.47,0,0,8,9,5
Mohammad Boota,UAE,2019-2022,19,15,7,136,20*,17.00,114,119.29,0,0,1,9,6
T Taylor,Caym,2019-2023,13,11,3,136,42,17.00,141,96.45,0,0,0,7,8
D Suzuki,JPN,2022-2023,13,11,3,135,34*,16.87,147,91.83,0,0,0,11,0
GF Gomes,MOZ,2019-2022,15,10,1,134,52,14.88,110,121.81,0,1,2,14,4
AJ Michael,Samoa,2019-2022,10,10,2,134,23,16.75,164,81.70,0,0,0,10,3
CT Mutombodzi,ZIM,2013-2020,15,14,3,134,32,12.18,144,93.05,0,0,2,9,2
Abdul Wahid,KSA,2019-2021,12,9,4,133,72*,26.60,98,135.71,0,1,0,11,8
Abdul Hashmi,DEN,2019-2023,21,14,4,133,31,13.30,132,100.75,0,0,3,11,0
VR Iyer,IND,2021-2022,9,7,3,133,35*,33.25,82,162.19,0,0,0,15,5
CH Morris,SA,2012-2019,23,13,4,133,55*,14.77,102,130.39,0,1,3,12,5
Rahel Khan,SWE,2021-2021,7,7,0,133,37,19.00,103,129.12,0,0,1,12,8
I Takahashi,JPN,2022-2023,13,11,0,133,31,12.09,127,104.72,0,0,2,9,5
Tenjin Rabgey,BHU,2022-2023,8,8,0,133,50,16.62,160,83.12,0,1,1,10,1
C Wright,Caym,2019-2023,14,12,6,133,50,22.16,109,122.01,0,1,1,6,6
YBK Jaiswal,IND,2023-2023,5,5,1,132,84*,33.00,91,145.05,0,1,0,17,5
GEF Barnett,CAN,2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0
CN Kakuru,UGA,2022-2023,28,16,3,131,38,10.07,128,102.34,0,0,2,16,1
J Albin,BUL,2021-2022,25,16,8,130,19*,16.25,168,77.38,0,0,0,12,1
AC Botha,IRE,2008-2010,14,11,1,130,38,13.00,141,92.19,0,0,2,12,1
DDP D'Silva,UAE,2019-2019,10,8,4,130,29,32.50,146,89.04,0,0,1,9,0
J Mosca,ITA,2022-2023,9,9,0,130,49,14.44,109,119.26,0,0,1,15,4
Naeem Islam,BAN,2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7
VE Tembo,MOZ,2019-2023,18,14,4,130,27*,13.00,156,83.33,0,0,2,11,1
Aslam Mohammad,GRC,2019-2022,10,8,1,129,61,18.42,101,127.72,0,2,1,8,11
AJ Ayannaike,NGA,2019-2021,20,19,0,129,33,6.78,166,77.71,0,0,5,10,3
Hasan Ali,PAK,2016-2022,50,19,10,129,23,14.33,69,186.95,0,0,4,7,11
DR Hooper,GUE,2019-2023,24,14,6,129,19*,16.12,149,86.57,0,0,1,5,1
P Manning,Caym,2019-2023,10,10,1,129,31,14.33,171,75.43,0,0,1,10,1
T Munyonga,ZIM,2019-2023,13,10,2,129,44,16.12,130,99.23,0,0,0,7,2
J Singye,BHU,2019-2022,9,8,0,129,40,16.12,171,75.43,0,0,0,7,0
JR Barry,Bhm,2021-2023,10,9,2,128,30*,18.28,178,71.91,0,0,1,12,0
MPS Cheema,Aut,2022-2023,19,14,2,128,33,10.66,140,91.42,0,0,0,12,1
BOP Fernando,SL,2019-2021,7,6,1,128,78*,25.60,114,112.28,0,1,0,11,4
Mirwais Ashraf,AFG,2010-2016,25,19,8,128,28*,11.63,115,111.30,0,0,2,5,8
Muhammed Manga,GAMBI,2022-2022,7,7,1,128,59*,21.33,171,74.85,0,1,0,5,4
CK Coventry,ZIM,2010-2015,13,12,2,127,30,12.70,90,141.11,0,0,2,14,6
S Dube,IND,2019-2023,15,10,4,127,54,21.16,93,136.55,0,1,0,7,8
PG Fulton,NZ,2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6
IK Gamantika,INA,2022-2023,10,10,2,127,35,15.87,154,82.46,0,0,0,7,3
Mohammad Mithun,BAN,2014-2021,17,13,1,127,47,10.58,136,93.38,0,0,2,10,4
Omid Mailk Khel,Belg,2022-2023,8,8,3,127,26*,25.40,117,108.54,0,0,0,9,3
MA Ouma,KENYA,2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1
MJ Prior,ENG,2007-2010,10,8,2,127,32,21.16,100,127.00,0,0,1,11,5
TKP Rajapaksha,SEY,2022-2022,7,6,0,127,49,21.16,130,97.69,0,0,0,15,0
Sachin Mandy,GER,2022-2023,19,11,1,127,34,12.70,124,102.41,0,0,2,12,4
AJ Staal,NED,2019-2021,14,12,4,127,28*,15.87,97,130.92,0,0,4,7,7
Anoop Orsu,LUX,2022-2023,12,10,4,126,58*,21.00,102,123.52,0,1,4,8,7
DAJ Bracewell,NZ,2011-2021,20,11,5,126,44,21.00,90,140.00,0,0,2,6,9
Mohammad Haris,PAK,2022-2023,9,9,0,126,31,14.00,99,127.27,0,0,1,9,8
AJ Redmond,NZ,2009-2010,7,6,0,126,63,21.00,84,150.00,0,1,0,19,2
Choudry Share Ali,SWE,2023-2023,5,5,1,125,61*,31.25,98,127.55,0,1,0,11,4
JL Denly,ENG,2009-2020,13,12,2,125,30,12.50,118,105.93,0,0,2,15,1
Habib Ahmadzai,Aut,2019-2022,10,10,2,125,39,15.62,121,103.30,0,0,1,12,2
K Hinds,Bhm,2021-2023,10,10,0,125,40,12.50,115,108.69,0,0,1,7,6
Muhammad Naeem,KSA,2019-2020,7,6,2,125,42,31.25,126,99.20,0,0,1,7,3
PJ van Biljon,SA,2020-2021,10,8,2,125,42,20.83,101,123.76,0,0,0,10,4
Arslan Amjad,EST,2022-2022,6,6,0,124,62,20.66,131,94.65,0,1,1,9,3
EB Knowles,CZK-R,2019-2021,14,13,3,124,23,12.40,152,81.57,0,0,1,15,0
Mohammed Asghar,KUW,2019-2019,4,4,0,124,45,31.00,91,136.26,0,0,0,13,5
KH Pandya,IND,2018-2021,19,10,5,124,26*,24.80,95,130.52,0,0,0,8,6
RJ Peterson,SA,2006-2014,21,12,4,124,34,15.50,113,109.73,0,0,1,13,2
D Klein,GER,2020-2023,23,17,5,123,31*,10.25,97,126.80,0,0,3,10,5
AD Mascarenhas,ENG,2007-2009,14,13,5,123,31,15.37,100,123.00,0,0,3,8,5
Mohammad Kamran,ESP,2022-2023,19,12,3,123,52,13.66,116,106.03,0,1,0,10,3
S Pradhan,BHU,2022-2023,11,10,1,123,59,13.66,148,83.10,0,1,2,13,1
Saim Ayub,PAK,2023-2023,8,7,0,123,49,17.57,100,123.00,0,0,3,13,5
Ahmed Raza,UAE,2014-2022,55,20,10,122,22,12.20,147,82.99,0,0,3,3,5
D Cleaver,NZ,2022-2023,9,7,1,122,78*,20.33,101,120.79,0,1,1,10,5
AW Hawkins-Kay,JER,2019-2019,16,13,5,122,27*,15.25,136,89.70,0,0,1,8,0
KM Jadhav,IND,2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3
Pargat Singh,CAN,2022-2022,7,6,1,122,61*,24.40,110,110.90,0,1,2,11,4
M Podosky,PHI,2022-2023,11,11,2,122,41,13.55,98,124.48,0,0,2,6,8
Aayan Afzal Khan,UAE,2022-2023,16,8,1,121,42,17.28,112,108.03,0,0,0,11,1
GG Banner,Blz,2019-2021,9,9,1,120,47,15.00,121,99.17,0,0,3,4,10
J Jagroo,Bhm,2021-2022,11,11,0,120,34,10.90,140,85.71,0,0,2,7,5
M Kadyan,BUL,2021-2022,12,11,3,120,50,15.00,94,127.65,0,1,2,13,6
M Machado,PORT,2023-2023,8,8,3,120,54*,24.00,92,130.43,0,2,0,10,5
DR Martyn,AUS,2005-2006,4,4,0,120,96,30.00,74,162.16,0,1,0,11,5
M Sohel Patel,PNM,2019-2023,11,11,0,120,42,10.90,116,103.44,0,0,3,10,6
M Beitaki,Fiji,2022-2023,10,10,2,119,33*,14.87,84,141.66,0,0,1,7,8
Imrul Kayes,BAN,2010-2017,14,13,0,119,36,9.15,134,88.80,0,0,4,14,3
Suraj Kumar,OMA,2019-2022,19,12,3,119,42*,13.22,108,110.18,0,0,0,10,3
B Tuyizere,RWN,2021-2023,13,11,2,119,40,13.22,141,84.39,0,0,1,9,1
Waseem Abbas,MLT,2019-2023,46,25,11,119,20*,8.50,87,136.78,0,0,2,5,9
M Abdulla,MWI,2019-2021,10,7,2,118,42*,23.60,113,104.42,0,0,0,11,2
D Ajekun,NGA,2019-2021,11,11,0,118,22,10.72,179,65.92,0,0,1,12,1
SCJ Broad,ENG,2006-2014,56,26,10,118,18*,7.37,118,100.00,0,0,2,7,3
DT Christian,AUS,2010-2021,23,14,6,118,39,14.75,93,126.88,0,0,1,7,6
Khalid Ahmadi,Belg,2020-2023,18,14,7,118,31*,16.85,75,157.33,0,0,2,11,6
A Manousis,GRC,2019-2022,11,11,2,118,27,13.11,101,116.83,0,0,4,14,4
R Nath,TKY,2022-2023,8,7,1,118,38,19.66,128,92.18,0,0,0,7,6
GM Ntambalika,MWI,2019-2023,22,13,2,118,41,10.72,122,96.72,0,0,1,9,3
A Reyes,GIBR,2021-2023,16,11,1,118,44,11.80,153,77.12,0,0,2,12,0
Shamsudheen Purat,KSA,2019-2020,6,5,1,118,88*,29.50,77,153.24,0,1,2,12,7
JE Taylor,WI,2006-2018,30,15,6,118,21,13.11,92,128.26,0,0,1,10,6
C Webster,IOM,2023-2023,6,6,1,118,59*,23.60,90,131.11,0,1,2,6,6
M Chadha,CAM,2023-2023,3,3,0,117,50,39.00,97,120.61,0,1,0,5,9
D Jansen,IOM,2021-2023,12,8,0,117,33,14.62,127,92.12,0,0,1,6,3
Sazib Bhuiyan,CZK-R,2022-2023,15,11,2,117,51,13.00,88,132.95,0,1,1,9,6
G Schachat,ISR,2022-2022,3,3,2,117,66,117.00,106,110.37,0,1,0,10,2
Ziaur Rahman,BAN,2012-2014,14,12,3,117,40*,13.00,91,128.57,0,0,3,3,10
PJ Cummins,AUS,2011-2022,50,23,11,116,21,9.66,94,123.40,0,0,3,6,6
MO Jones,BMUDA,2019-2023,18,14,8,116,27,19.33,127,91.33,0,0,0,5,3
Shahzaib Hasan,PAK,2009-2010,10,10,0,116,35,11.60,130,89.23,0,0,3,13,3
Zeeshan Sarwar,CYP,2021-2021,4,4,0,116,61,29.00,79,146.83,0,1,1,4,10
JH Davey,SCOT,2012-2022,31,16,8,115,24,14.37,88,130.68,0,0,1,7,4
Luqman Butt,CAM,2023-2023,3,3,0,115,49,38.33,53,216.98,0,0,0,8,9
Taskin Ahmed,BAN,2014-2023,54,25,11,115,15*,8.21,125,92.00,0,0,4,10,4
ZM Tribe,JER,2021-2023,10,9,1,115,29,14.37,132,87.12,0,0,1,12,0
Ainool Hafizs,MAL,2019-2023,24,14,2,114,21,9.50,117,97.43,0,0,0,7,2
S Kaveri,Mex,2019-2019,7,6,1,114,43,22.80,146,78.08,0,0,0,9,1
MG Bracewell,NZ,2022-2023,16,11,5,113,61*,18.83,81,139.50,0,1,2,10,5
DL Maddy,ENG,2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3
Tafseer Ali,NOR,2019-2023,12,11,2,113,28,12.55,140,80.71,0,0,0,9,0
Afsar Zazai,AFG,2013-2023,5,5,0,112,48,22.40,128,87.50,0,0,0,7,3
SP Khakurel,NEP,2014-2015,8,8,0,112,56,14.00,139,80.57,0,1,0,10,1
Mohammad Yasin,ESP,2022-2023,6,6,0,112,28,18.66,90,124.44,0,0,0,13,3
LA Burns,ESP,2022-2023,17,10,2,111,47,13.87,96,115.62,0,0,1,11,2
AP Devcich,NZ,2013-2014,4,4,0,111,59,27.75,79,140.50,0,1,0,17,2
GF Linde,SA,2020-2021,14,11,1,111,29,11.10,85,130.58,0,0,2,6,6
J Miyaji,UGA,2022-2022,18,11,2,111,29,12.33,111,100.00,0,0,2,1,7
S Samarawickrama,SL,2017-2021,9,9,0,111,32,12.33,118,94.06,0,0,1,10,0
JNK Shannon,IRE,2013-2018,8,8,0,111,60,13.87,84,132.14,0,1,1,12,5
Mohammad Aadil Alam,NEP,2022-2022,8,8,1,110,31,15.71,77,142.85,0,0,0,5,7
SP Fleming,NZ,2005-2006,5,5,0,110,38,22.00,85,129.41,0,0,0,20,0
MA Jones,SCOT,2022-2022,4,4,0,110,86,27.50,79,139.24,0,1,1,10,4
A Lark,Aut,2019-2019,5,4,0,110,43,27.50,121,90.90,0,0,1,15,0
A Parima,COK,2022-2022,6,6,0,110,34,18.33,90,122.22,0,0,0,13,3
NA Rock,IRE,2021-2023,19,12,1,110,36,10.00,98,112.24,0,0,1,9,2
Sandeep Goud,Bhm,2021-2023,13,11,1,110,25,11.00,97,113.40,0,0,0,6,7
AJ Turner,AUS,2017-2023,19,14,5,110,24,12.22,131,83.96,0,0,1,4,2
Anwar Ali,PAK,2008-2016,16,11,4,109,46,15.57,77,141.55,0,0,0,6,6
AJ Jabiri,TAN,2022-2022,12,11,0,109,27,9.90,168,64.88,0,0,1,10,1
MG Johnson,AUS,2007-2013,30,17,7,109,28*,10.90,95,114.73,0,0,2,8,3
UT Kaisala,Samoa,2022-2023,8,8,1,109,35*,15.57,126,86.50,0,0,0,11,3
Mamoon Latif,Belg,2019-2021,11,10,0,109,25,10.90,122,89.34,0,0,1,7,3
DS Maraiwai,Fiji,2022-2023,9,9,1,109,23,13.62,95,114.73,0,0,1,13,3
T van der Gugten,NED,2012-2022,42,12,4,109,40*,13.62,82,132.92,0,0,2,4,6
Harbhajan Singh,IND,2006-2016,28,13,5,108,21,13.50,87,124.13,0,0,1,11,4
WG Jacks,ENG,2022-2023,6,6,0,108,40,18.00,71,152.11,0,0,1,17,2
V Ravindran,HUN,2023-2023,5,4,0,108,36,27.00,80,135.00,0,0,0,15,3
MB Tambe,Fin,2021-2023,18,16,9,108,31*,15.42,113,95.57,0,0,2,6,2
B Zuiderent,NED,2009-2010,6,6,1,108,43*,21.60,124,87.09,0,0,0,8,1
M Koli,ROM,2022-2023,13,9,3,107,33*,17.83,84,127.38,0,0,1,10,2
S Thakur,ROM,2021-2023,6,5,3,107,55,53.50,90,118.88,0,1,0,14,1
GJ Thompson,IRE,2016-2019,10,8,1,107,44,15.28,108,99.07,0,0,2,14,1
Washington Sundar,IND,2017-2023,37,15,5,107,50,10.70,71,150.70,0,1,4,10,6
Azyan Farhath,MDV,2019-2022,12,12,1,106,24,9.63,166,63.85,0,0,0,8,1
NA Maiolo,ITA,2019-2019,8,7,1,106,39*,17.66,104,101.92,0,0,0,11,2
A Mene-Ejegi,SRB,2022-2022,11,9,1,106,32*,13.25,66,160.60,0,0,2,10,6
Sami Ullah,ROM,2020-2021,9,7,1,106,33,17.66,55,192.72,0,0,1,13,4
DR Sams,AUS,2020-2022,10,7,3,106,41,26.50,62,170.96,0,0,0,8,6
C Veretaki,Fiji,2023-2023,4,4,0,106,60,26.50,105,100.95,0,1,1,14,2
MD Dai,PNG,2015-2017,9,8,0,105,31,13.12,128,82.03,0,0,0,4,0
JR Hopes,AUS,2005-2010,12,7,2,105,30,21.00,98,107.14,0,0,0,7,1
S Mba,NGA,2021-2021,8,7,2,105,40*,21.00,144,72.91,0,0,1,11,1
M Mosehle,SA,2017-2017,7,6,1,105,36,21.00,65,161.53,0,0,0,6,9
